,date,id,link,retweet,text,author
3910,13 May 2015,598462317945315328,/realDonaldTrump/status/598462317945315329,False,"TRAIN WRECK just the beginning. Our roads, airports, tunnels, bridges, electric grid - all falling apart.I can fix for 20% of pols, & better",DonaldTrump
3911,12 May 2015,598328562739970048,/realDonaldTrump/status/598328562739970048,False,"Remember, politicians are all talk and NO action. Our country is a laughing stock that is going to hell. The lobbyists & donors control all!",DonaldTrump
3912,12 May 2015,598324947140902912,/realDonaldTrump/status/598324947140902912,False,"The only one to fix the infrastructure of our country is me - roads, airports, bridges. I know how to build, pols only know how to talk!",DonaldTrump
3913,12 May 2015,598315097803640832,/realDonaldTrump/status/598315097803640832,False,"Amtrak crash near Philadelphia, train derails -many hurt, some badly. Our country has horrible infrastructure problems. Pols can't solve!",DonaldTrump
3914,12 May 2015,598299315912716288,/realDonaldTrump/status/598299315912716288,False,Jeb Bush really blew his interview with @megynkelly - should cost him big time. Said he would do the disastrous  Iraq war all over again,DonaldTrump
3915,12 May 2015,598225004258533376,/realDonaldTrump/status/598225004258533376,False,"My @bostonherald interview on Tom Brady, Hillary Clinton, the Granite State & Making America Great Again!https://soundcloud.com/bostonherald/donald-trump-joins-morning-meeting-talks-deflate-gate-hillary-clinton-and-more …",DonaldTrump
3916,12 May 2015,598219168001949696,/realDonaldTrump/status/598219168001949697,False,Glad the Trans-Pacific Partnership failed in the Senate. Bad deal for American worker & economy! We need SMART TRADE!http://www.washingtontimes.com/news/2015/may/12/democrats-filibuster-obamas-trade-bill/ …,DonaldTrump
3917,12 May 2015,598201131370680320,/realDonaldTrump/status/598201131370680322,False,"""Everything comes to him who hustles while he waits."" -- Thomas Edison",DonaldTrump
3918,12 May 2015,598196245971230720,/realDonaldTrump/status/598196245971230722,False,"Entrepreneurs: Look at the solution, not the problem. Learn to focus on what will give results.",DonaldTrump
3919,12 May 2015,598196023907983360,/realDonaldTrump/status/598196023907983360,False,Entrepreneurs: Keep the big picture in mind. There are always opportunites and possibilities & thinking too small can negate a lot of them.,DonaldTrump
3920,12 May 2015,598195607883350016,/realDonaldTrump/status/598195607883350016,False,Entrepreneurs: Be passionate. You have to love what you're doing to be successful at it.,DonaldTrump
3921,12 May 2015,598193010048897024,/realDonaldTrump/status/598193010048897024,False,"""@therealtommydel Trump for President!  Tom Brady as running mate?""",DonaldTrump
3922,12 May 2015,598192156491255808,/realDonaldTrump/status/598192156491255808,False,"""@donhewitt3 @RonFromLasVegas People are very naive if they think only the Patriots do this. Had no effect on the game. Go to court""",DonaldTrump
3923,12 May 2015,598188263954866176,/realDonaldTrump/status/598188263954866176,False,"I was proud to be one of Ronald Reagan's earliest supporters. Like Reagan, it's time to Make America Great Again!http://www.dailymail.co.uk/news/article-3077773/Trump-trademarked-slogan-Make-America-Great-just-DAYS-2012-election-says-Ted-Cruz-agreed-not-use-Scott-Walker-booms-TWICE-speech.html …",DonaldTrump
3924,12 May 2015,598140917787262976,/realDonaldTrump/status/598140917787262977,False,Sue them Tom! #TrumpVlog https://instagram.com/p/2lg3KYGhdj/ ,DonaldTrump
3925,12 May 2015,598110553186422784,/realDonaldTrump/status/598110553186422784,False,What a STUPID deal for Verizon to buy AOL for $4.4 billion. AOL has been bad luck for everyone who touched it. Worth less than $1 billion!,DonaldTrump
3926,12 May 2015,598000667953930240,/realDonaldTrump/status/598000667953930240,False,One of the dumber and least respected of the political pundits is Chris Cillizza of the Washington Post @TheFix. Moron hates my poll numbers,DonaldTrump
3927,12 May 2015,597993941594693632,/realDonaldTrump/status/597993941594693632,True,"""@delonte3ast: Tom Brady is about to win the next 5 Super Bowls and visit @realdonaldtrump in the White House."" Very cool!",DonaldTrump
3928,12 May 2015,597992721802993664,/realDonaldTrump/status/597992721802993664,True,"""@ryan_smith10: @realDonaldTrump for President! """,DonaldTrump
3929,11 May 2015,597910903007371264,/realDonaldTrump/status/597910903007371265,False,"Why do we always try to destroy our true champions and winners in this country, while at the same time leaving the losers alone? STUPID!",DonaldTrump
3930,11 May 2015,597909275843887104,/realDonaldTrump/status/597909275843887104,False,"People are so jealous of Tom Brady and the Patriots. No court could convict based on the evidence.They can't beat him on the field, so this!",DonaldTrump
3931,11 May 2015,597906025283477504,/realDonaldTrump/status/597906025283477506,False,"Can you imagine, we spend billions of dollars protecting Saudi Arabia and now the King refuses to even meet with Obama. Great leadership!",DonaldTrump
3932,11 May 2015,597889563831496704,/realDonaldTrump/status/597889563831496704,False,"They had no definitive proof against Tom Brady or #patriots. If Hillary doesn't have to produce Emails, why should Tom? Very unfair!",DonaldTrump
3933,11 May 2015,597843823889383424,/realDonaldTrump/status/597843823889383424,False,"""Government's first duty is to protect the people, not run their lives.” – President Ronald Reagan",DonaldTrump
3934,11 May 2015,597831508557180928,/realDonaldTrump/status/597831508557180932,False,Great shot by @KingJames yesterday. Lebron is a tough competitor who delivers under pressure.,DonaldTrump
3935,11 May 2015,597777168421228544,/realDonaldTrump/status/597777168421228544,False,"“Do what you can, with what you have, where you are.” - Theodore Roosevelt",DonaldTrump
3936,11 May 2015,597717053647249408,/realDonaldTrump/status/597717053647249408,False,Denzel Washington gave a wonderful commencement speech over the weekend. From the heart!,DonaldTrump
3937,11 May 2015,597710186338455552,/realDonaldTrump/status/597710186338455552,False,"A great job by @RickieFowlerPGA in winning The Players yesterday. Finally, your jealous critics can go to hell! Good luck at The U.S. Open.",DonaldTrump
